76.471,86.353,88.000,86.000,84.471,85.647,84.824,85.412,88.706,84.824,,0.681,0.435,0.336,0.423,0.445,0.361,0.373,0.452,0.303,0.423
81.412,87.529,88.471,90.588,89.059,91.765,93.059,89.647,91.647,90.824,,0.510,0.329,0.319,0.211,0.301,0.200,0.186,0.302,0.188,0.269
92.471,91.176,92.118,89.765,89.647,94.118,89.647,92.706,92.941,88.588,,0.203,0.206,0.193,0.278,0.288,0.156,0.284,0.181,0.163,0.305
89.294,85.647,93.529,89.647,92.824,94.000,94.588,93.765,89.882,90.471,,0.295,0.413,0.174,0.274,0.169,0.146,0.149,0.141,0.279,0.285
93.647,90.706,93.176,92.588,95.059,93.765,90.824,93.529,93.176,94.471,,0.163,0.196,0.164,0.179,0.148,0.159,0.284,0.161,0.164,0.145
84.118,89.529,92.471,93.882,92.588,94.941,95.059,94.706,89.882,95.059,,0.459,0.285,0.183,0.152,0.174,0.147,0.143,0.130,0.271,0.147
86.941,91.647,94.706,93.647,92.000,94.824,93.412,95.059,95.059,95.647,,0.331,0.194,0.158,0.151,0.184,0.135,0.157,0.139,0.135,0.129
85.059,93.059,94.235,94.000,91.412,92.706,93.412,94.118,94.118,94.353,,0.432,0.172,0.142,0.154,0.254,0.164,0.155,0.148,0.153,0.136
92.471,89.882,93.412,92.824,93.882,95.412,95.882,94.706,94.235,94.353,,0.178,0.285,0.161,0.171,0.141,0.137,0.140,0.133,0.144,0.138
92.118,92.706,94.000,93.294,95.059,94.235,95.529,95.647,96.235,94.000,,0.183,0.173,0.155,0.158,0.146,0.136,0.140,0.124,0.129,0.149
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
